ra,dec,frequency,flux,flux_err,upper_limit
91.80958,-25.31639,2.420E+23,2.040E-13,0.000E+00,UL
91.80958,-25.31639,4.110E+23,2.127E-13,8.819E-14,
91.80958,-25.31639,7.250E+23,3.107E-13,3.826E-14,
91.80958,-25.31639,1.210E+24,3.382E-13,8.259E-14,
91.80958,-25.31639,2.418E+24,1.903E-13,8.071E-14,
91.80958,-25.31639,4.110E+24,1.769E-13,1.001E-13,
91.80958,-25.31639,7.250E+24,9.374E-14,6.063E-14,
91.80958,-25.31639,1.210E+25,2.570E-13,0.000E+00,UL
91.80958,-25.31639,2.420E+25,4.190E-13,0.000E+00,UL
95.45667,-34.19694,2.420E+23,8.012E-13,3.528E-14,
95.45667,-34.19694,4.110E+23,6.161E-13,1.128E-13,
95.45667,-34.19694,7.250E+23,3.948E-13,1.123E-13,
95.45667,-34.19694,1.210E+24,3.115E-13,1.007E-13,
95.45667,-34.19694,2.418E+24,1.567E-13,8.979E-14,
95.45667,-34.19694,4.110E+24,1.640E-13,0.000E+00,UL
95.45667,-34.19694,7.250E+24,1.442E-13,7.206E-14,
95.45667,-34.19694,1.210E+25,2.570E-13,0.000E+00,UL
95.45667,-34.19694,2.420E+25,4.190E-13,0.000E+00,UL
96.60917,-17.17944,2.420E+23,2.629E-13,1.567E-13,
96.60917,-17.17944,4.110E+23,2.752E-13,1.122E-13,
96.60917,-17.17944,7.250E+23,2.691E-13,1.176E-13,
96.60917,-17.17944,1.210E+24,3.220E-13,9.591E-14,
96.60917,-17.17944,2.418E+24,3.677E-13,1.250E-13,
96.60917,-17.17944,4.110E+24,3.507E-13,1.648E-13,
96.60917,-17.17944,7.250E+24,2.800E-13,1.810E-13,
96.60917,-17.17944,1.210E+25,2.570E-13,0.000E+00,UL
96.60917,-17.17944,2.420E+25,4.190E-13,0.000E+00,UL
97.5625,-20.21,2.420E+23,2.040E-13,0.000E+00,UL
97.5625,-20.21,4.110E+23,1.670E-13,0.000E+00,UL
97.5625,-20.21,7.250E+23,1.440E-13,0.000E+00,UL
97.5625,-20.21,1.210E+24,1.390E-13,0.000E+00,UL
97.5625,-20.21,2.418E+24,1.450E-13,0.000E+00,UL
97.5625,-20.21,4.110E+24,1.640E-13,0.000E+00,UL
97.5625,-20.21,7.250E+24,1.511E-13,6.444E-14,
97.5625,-20.21,1.210E+25,3.404E-13,6.245E-14,
97.5625,-20.21,2.420E+25,8.079E-13,4.000E-13,
104.88708,-67.73056,2.420E+23,1.816E-13,1.442E-13,
104.88708,-67.73056,4.110E+23,1.137E-13,7.568E-14,
104.88708,-67.73056,7.250E+23,1.600E-13,6.626E-14,
104.88708,-67.73056,1.210E+24,1.421E-13,7.418E-14,
104.88708,-67.73056,2.418E+24,2.072E-13,8.157E-14,
104.88708,-67.73056,4.110E+24,1.538E-13,9.831E-14,
104.88708,-67.73056,7.250E+24,3.623E-13,1.297E-13,
104.88708,-67.73056,1.210E+25,2.703E-13,1.678E-13,
104.88708,-67.73056,2.420E+25,6.045E-13,2.574E-13,
109.4375,-55.33944,2.420E+23,2.040E-13,0.000E+00,UL
109.4375,-55.33944,4.110E+23,1.421E-13,1.236E-13,
109.4375,-55.33944,7.250E+23,3.145E-13,7.884E-14,
109.4375,-55.33944,1.210E+24,3.800E-13,8.482E-14,
109.4375,-55.33944,2.418E+24,4.693E-13,1.162E-13,
109.4375,-55.33944,4.110E+24,3.347E-13,1.277E-13,
109.4375,-55.33944,7.250E+24,2.226E-13,1.215E-13,
109.4375,-55.33944,1.210E+25,2.570E-13,0.000E+00,UL
109.4375,-55.33944,2.420E+25,4.190E-13,0.000E+00,UL
112.96958,28.07583,2.420E+23,1.505E-13,1.164E-13,
112.96958,28.07583,4.110E+23,1.923E-13,8.717E-14,
112.96958,28.07583,7.250E+23,2.328E-13,6.458E-14,
112.96958,28.07583,1.210E+24,2.016E-13,7.133E-14,
112.96958,28.07583,2.418E+24,3.325E-13,9.980E-14,
112.96958,28.07583,4.110E+24,3.307E-13,1.255E-13,
112.96958,28.07583,7.250E+24,3.346E-13,1.720E-13,
112.96958,28.07583,1.210E+25,1.307E-13,1.076E-13,
112.96958,28.07583,2.420E+25,4.190E-13,0.000E+00,UL
113.37292,35.26167,2.420E+23,2.134E-13,1.215E-13,
113.37292,35.26167,4.110E+23,2.305E-13,8.084E-14,
113.37292,35.26167,7.250E+23,1.907E-13,6.613E-14,
113.37292,35.26167,1.210E+24,8.901E-14,6.792E-14,
113.37292,35.26167,2.418E+24,1.450E-13,0.000E+00,UL
113.37292,35.26167,4.110E+24,1.640E-13,0.000E+00,UL
113.37292,35.26167,7.250E+24,2.030E-13,0.000E+00,UL
113.37292,35.26167,1.210E+25,2.570E-13,0.000E+00,UL
113.37292,35.26167,2.420E+25,4.190E-13,0.000E+00,UL
119.90042,13.35472,2.420E+23,2.255E-13,9.538E-14,
119.90042,13.35472,4.110E+23,2.823E-13,8.372E-14,
119.90042,13.35472,7.250E+23,3.902E-13,8.067E-14,
119.90042,13.35472,1.210E+24,4.416E-13,9.303E-14,
119.90042,13.35472,2.418E+24,7.038E-13,1.422E-13,
119.90042,13.35472,4.110E+24,9.224E-13,2.048E-13,
119.90042,13.35472,7.250E+24,9.326E-13,3.000E-13,
119.90042,13.35472,1.210E+25,9.795E-13,3.855E-13,
119.90042,13.35472,2.420E+25,6.233E-13,4.232E-13,
120.06458,56.18528,2.420E+23,1.541E-13,1.093E-13,
120.06458,56.18528,4.110E+23,2.216E-13,8.540E-14,
120.06458,56.18528,7.250E+23,3.310E-13,6.350E-14,
120.06458,56.18528,1.210E+24,3.793E-13,7.047E-14,
120.06458,56.18528,2.418E+24,3.932E-13,1.003E-13,
120.06458,56.18528,4.110E+24,3.299E-13,1.312E-13,
120.06458,56.18528,7.250E+24,2.537E-13,6.185E-14,
120.06458,56.18528,1.210E+25,2.570E-13,0.000E+00,UL
120.06458,56.18528,2.420E+25,4.190E-13,0.000E+00,UL
127.27,17.90417,2.420E+23,7.786E-13,2.022E-13,
127.27,17.90417,4.110E+23,6.296E-13,1.041E-13,
127.27,17.90417,7.250E+23,5.623E-13,9.311E-14,
127.27,17.90417,1.210E+24,4.636E-13,9.958E-14,
127.27,17.90417,2.418E+24,3.090E-13,1.176E-13,
127.27,17.90417,4.110E+24,1.972E-13,1.517E-13,
127.27,17.90417,7.250E+24,2.596E-13,1.494E-13,
127.27,17.90417,1.210E+25,2.185E-13,1.832E-13,
127.27,17.90417,2.420E+25,4.190E-13,0.000E+00,UL
129.3525,14.97222,2.420E+23,7.981E-14,1.018E-13,
129.3525,14.97222,4.110E+23,1.216E-13,8.914E-14,
129.3525,14.97222,7.250E+23,1.775E-13,7.336E-14,
129.3525,14.97222,1.210E+24,2.876E-13,8.954E-14,
129.3525,14.97222,2.418E+24,4.226E-13,1.132E-13,
129.3525,14.97222,4.110E+24,5.490E-13,1.627E-13,
129.3525,14.97222,7.250E+24,4.811E-13,1.909E-13,
129.3525,14.97222,1.210E+25,3.864E-13,3.026E-13,
129.3525,14.97222,2.420E+25,4.190E-13,0.000E+00,UL
134.4575,1.59167,2.420E+23,2.040E-13,0.000E+00,UL
134.4575,1.59167,4.110E+23,1.670E-13,0.000E+00,UL
134.4575,1.59167,7.250E+23,1.583E-13,7.343E-14,
134.4575,1.59167,1.210E+24,1.488E-13,6.789E-14,
134.4575,1.59167,2.418E+24,9.022E-14,7.313E-14,
134.4575,1.59167,4.110E+24,1.640E-13,0.000E+00,UL
134.4575,1.59167,7.250E+24,2.030E-13,0.000E+00,UL
134.4575,1.59167,1.210E+25,2.570E-13,0.000E+00,UL
134.4575,1.59167,2.420E+25,4.190E-13,0.000E+00,UL
137.00917,-9.99361,2.420E+23,4.234E-13,1.208E-12,
137.00917,-9.99361,4.110E+23,2.773E-13,1.195E-12,
137.00917,-9.99361,7.250E+23,1.319E-13,1.767E-13,
137.00917,-9.99361,1.210E+24,1.224E-13,7.121E-14,
137.00917,-9.99361,2.418E+24,9.325E-14,7.586E-14,
137.00917,-9.99361,4.110E+24,1.756E-13,1.104E-13,
137.00917,-9.99361,7.250E+24,2.461E-13,6.330E-14,
137.00917,-9.99361,1.210E+25,1.911E-13,1.659E-13,UL
137.00917,-9.99361,2.420E+25,4.190E-13,0.000E+00,UL
137.47167,31.10083,2.420E+23,1.481E-13,9.557E-14,
137.47167,31.10083,4.110E+23,1.528E-13,6.949E-14,
137.47167,31.10083,7.250E+23,1.782E-13,6.027E-14,
137.47167,31.10083,1.210E+24,1.910E-13,6.544E-14,
137.47167,31.10083,2.418E+24,1.347E-13,7.322E-14,
137.47167,31.10083,4.110E+24,1.702E-13,9.035E-14,
137.47167,31.10083,7.250E+24,2.213E-13,1.216E-13,
137.47167,31.10083,1.210E+25,2.174E-13,1.612E-13,
137.47167,31.10083,2.420E+25,4.190E-13,0.000E+00,UL
138.34292,81.55139,2.420E+23,2.040E-13,0.000E+00,UL
138.34292,81.55139,4.110E+23,4.304E-14,3.790E-14,
138.34292,81.55139,7.250E+23,1.440E-13,0.000E+00,UL
138.34292,81.55139,1.210E+24,1.043E-13,4.339E-14,
138.34292,81.55139,2.418E+24,1.923E-13,6.890E-14,
138.34292,81.55139,4.110E+24,2.724E-13,9.248E-14,
138.34292,81.55139,7.250E+24,4.738E-13,1.521E-13,
138.34292,81.55139,1.210E+25,3.556E-13,4.615E-14,
138.34292,81.55139,2.420E+25,4.190E-13,0.000E+00,UL
139.21625,52.64111,2.420E+23,1.343E-13,6.553E-14,
139.21625,52.64111,4.110E+23,1.645E-13,5.498E-14,
139.21625,52.64111,7.250E+23,2.011E-13,6.119E-14,
139.21625,52.64111,1.210E+24,2.184E-13,5.734E-14,
139.21625,52.64111,2.418E+24,3.219E-13,8.283E-14,
139.21625,52.64111,4.110E+24,3.898E-13,1.215E-13,
139.21625,52.64111,7.250E+24,2.595E-13,9.078E-14,
139.21625,52.64111,1.210E+25,1.927E-13,1.490E-13,
139.21625,52.64111,2.420E+25,4.190E-13,0.000E+00,UL
143.16375,10.70972,2.420E+23,2.164E-13,1.365E-13,
143.16375,10.70972,4.110E+23,2.914E-13,1.008E-13,
143.16375,10.70972,7.250E+23,3.398E-13,7.658E-14,
143.16375,10.70972,1.210E+24,3.790E-13,8.994E-14,
143.16375,10.70972,2.418E+24,4.792E-13,1.335E-13,
143.16375,10.70972,4.110E+24,4.437E-13,1.525E-13,
143.16375,10.70972,7.250E+24,3.393E-13,1.797E-13,
143.16375,10.70972,1.210E+25,2.570E-13,0.000E+00,UL
143.16375,10.70972,2.420E+25,4.190E-13,0.000E+00,UL
143.62542,-17.35583,2.420E+23,6.329E-13,1.321E-12,
143.62542,-17.35583,4.110E+23,3.051E-13,1.132E-12,
143.62542,-17.35583,7.250E+23,2.161E-13,1.188E-12,
143.62542,-17.35583,1.210E+24,1.238E-13,1.157E-13,
143.62542,-17.35583,2.418E+24,2.656E-13,1.149E-13,
143.62542,-17.35583,4.110E+24,3.611E-13,1.551E-13,
143.62542,-17.35583,7.250E+24,3.244E-13,6.231E-14,
143.62542,-17.35583,1.210E+25,5.236E-13,3.000E-13,
143.62542,-17.35583,2.420E+25,4.190E-13,0.000E+00,UL
148.10042,75.03694,2.420E+23,2.040E-13,0.000E+00,UL
148.10042,75.03694,4.110E+23,1.670E-13,0.000E+00,UL
148.10042,75.03694,7.250E+23,1.440E-13,0.000E+00,UL
148.10042,75.03694,1.210E+24,8.234E-14,5.694E-14,
148.10042,75.03694,2.418E+24,2.184E-13,6.847E-14,
148.10042,75.03694,4.110E+24,2.740E-13,8.947E-14,
148.10042,75.03694,7.250E+24,4.460E-13,1.435E-13,
148.10042,75.03694,1.210E+25,5.364E-13,2.008E-13,
148.10042,75.03694,2.420E+25,4.715E-13,2.984E-13,
148.78292,35.85,2.420E+23,2.375E-13,1.429E-13,
148.78292,35.85,4.110E+23,1.324E-13,6.030E-14,
148.78292,35.85,7.250E+23,1.400E-13,5.184E-14,
148.78292,35.85,1.210E+24,1.710E-13,5.690E-14,
148.78292,35.85,2.418E+24,1.721E-13,7.375E-14,
148.78292,35.85,4.110E+24,1.028E-13,7.200E-14,
148.78292,35.85,7.250E+24,2.030E-13,0.000E+00,UL
148.78292,35.85,1.210E+25,2.570E-13,0.000E+00,UL
148.78292,35.85,2.420E+25,4.190E-13,0.000E+00,UL
149.1175,-9.95528,2.420E+23,2.040E-13,0.000E+00,UL
149.1175,-9.95528,4.110E+23,1.670E-13,0.000E+00,UL
149.1175,-9.95528,7.250E+23,8.567E-14,7.410E-14,
149.1175,-9.95528,1.210E+24,1.269E-13,8.850E-14,
149.1175,-9.95528,2.418E+24,1.617E-13,8.581E-14,
149.1175,-9.95528,4.110E+24,2.958E-13,1.252E-13,
149.1175,-9.95528,7.250E+24,2.949E-13,1.200E-13,
149.1175,-9.95528,1.210E+25,2.570E-13,0.000E+00,UL
149.1175,-9.95528,2.420E+25,4.190E-13,0.000E+00,UL
149.7075,70.66639,2.420E+23,2.040E-13,0.000E+00,UL
149.7075,70.66639,4.110E+23,1.670E-13,0.000E+00,UL
149.7075,70.66639,7.250E+23,7.876E-14,7.424E-14,
149.7075,70.66639,1.210E+24,1.502E-13,5.381E-14,
149.7075,70.66639,2.418E+24,2.088E-13,6.760E-14,
149.7075,70.66639,4.110E+24,1.743E-13,8.805E-14,
149.7075,70.66639,7.250E+24,1.962E-13,6.804E-14,
149.7075,70.66639,1.210E+25,2.040E-13,1.380E-13,
149.7075,70.66639,2.420E+25,4.190E-13,0.000E+00,UL
155.25125,16.43167,2.420E+23,3.650E-13,2.038E-13,
155.25125,16.43167,4.110E+23,2.098E-13,7.999E-14,
155.25125,16.43167,7.250E+23,1.658E-13,6.234E-14,
155.25125,16.43167,1.210E+24,1.591E-13,6.528E-14,
155.25125,16.43167,2.418E+24,1.167E-13,7.598E-14,
155.25125,16.43167,4.110E+24,1.568E-13,1.280E-13,
155.25125,16.43167,7.250E+24,1.524E-13,1.157E-13,
155.25125,16.43167,1.210E+25,1.499E-13,1.148E-13,
155.25125,16.43167,2.420E+25,4.190E-13,0.000E+00,UL
160.76583,0.90556,2.420E+23,2.040E-13,0.000E+00,UL
160.76583,0.90556,4.110E+23,9.505E-14,8.725E-14,
160.76583,0.90556,7.250E+23,2.284E-13,8.434E-14,
160.76583,0.90556,1.210E+24,3.325E-13,9.055E-14,
160.76583,0.90556,2.418E+24,4.226E-13,1.305E-13,
160.76583,0.90556,4.110E+24,4.026E-13,1.487E-13,
160.76583,0.90556,7.250E+24,4.084E-13,1.681E-13,
160.76583,0.90556,1.210E+25,3.654E-13,2.695E-13,
160.76583,0.90556,2.420E+25,4.190E-13,0.000E+00,UL
162.24,50.1625,2.420E+23,4.358E-13,1.334E-13,
162.24,50.1625,4.110E+23,3.299E-13,6.746E-14,
162.24,50.1625,7.250E+23,2.168E-13,6.019E-14,
162.24,50.1625,1.210E+24,1.289E-13,6.544E-14,
162.24,50.1625,2.418E+24,8.426E-14,4.810E-14,
162.24,50.1625,4.110E+24,8.536E-14,5.507E-14,
162.24,50.1625,7.250E+24,1.513E-13,8.587E-14,
162.24,50.1625,1.210E+25,2.570E-13,0.000E+00,UL
162.24,50.1625,2.420E+25,4.190E-13,0.000E+00,UL
163.89292,-1.43778,2.420E+23,4.484E-13,1.896E-13,
163.89292,-1.43778,4.110E+23,4.168E-13,1.060E-13,
163.89292,-1.43778,7.250E+23,4.439E-13,9.367E-14,
163.89292,-1.43778,1.210E+24,4.210E-13,1.017E-13,
163.89292,-1.43778,2.418E+24,4.772E-13,1.326E-13,
163.89292,-1.43778,4.110E+24,6.273E-13,1.824E-13,
163.89292,-1.43778,7.250E+24,5.752E-13,2.183E-13,
163.89292,-1.43778,1.210E+25,1.055E-12,3.639E-13,
163.89292,-1.43778,2.420E+25,1.082E-12,5.953E-13,
169.32292,0.10917,2.420E+23,2.103E-13,1.404E-13,
169.32292,0.10917,4.110E+23,2.957E-13,1.137E-13,
169.32292,0.10917,7.250E+23,3.513E-13,8.805E-14,
169.32292,0.10917,1.210E+24,3.846E-13,9.332E-14,
169.32292,0.10917,2.418E+24,3.383E-13,1.307E-13,
169.32292,0.10917,4.110E+24,2.328E-13,1.378E-13,
169.32292,0.10917,7.250E+24,2.030E-13,0.000E+00,UL
169.32292,0.10917,1.210E+25,2.570E-13,0.000E+00,UL
169.32292,0.10917,2.420E+25,4.190E-13,0.000E+00,UL
170.825,-32.53833,2.420E+23,2.040E-13,0.000E+00,UL
170.825,-32.53833,4.110E+23,1.670E-13,0.000E+00,UL
170.825,-32.53833,7.250E+23,1.699E-13,5.213E-14,
170.825,-32.53833,1.210E+24,2.365E-13,7.663E-14,
170.825,-32.53833,2.418E+24,2.745E-13,9.745E-14,
170.825,-32.53833,4.110E+24,2.262E-13,1.150E-13,
170.825,-32.53833,7.250E+24,2.030E-13,0.000E+00,UL
170.825,-32.53833,1.210E+25,2.570E-13,0.000E+00,UL
170.825,-32.53833,2.420E+25,4.190E-13,0.000E+00,UL
171.54958,-20.62333,2.420E+23,2.392E-13,1.857E-13,
171.54958,-20.62333,4.110E+23,2.171E-13,1.067E-13,
171.54958,-20.62333,7.250E+23,2.380E-13,8.255E-14,
171.54958,-20.62333,1.210E+24,2.113E-13,9.069E-14,
171.54958,-20.62333,2.418E+24,2.346E-13,1.080E-13,
171.54958,-20.62333,4.110E+24,1.627E-13,1.290E-13,
171.54958,-20.62333,7.250E+24,2.030E-13,0.000E+00,UL
171.54958,-20.62333,1.210E+25,2.570E-13,0.000E+00,UL
171.54958,-20.62333,2.420E+25,4.190E-13,0.000E+00,UL
172.69208,-31.63528,2.420E+23,2.040E-13,0.000E+00,UL
172.69208,-31.63528,4.110E+23,1.670E-13,0.000E+00,UL
172.69208,-31.63528,7.250E+23,1.440E-13,0.000E+00,UL
172.69208,-31.63528,1.210E+24,7.829E-14,5.802E-14,
172.69208,-31.63528,2.418E+24,1.371E-13,7.798E-14,
172.69208,-31.63528,4.110E+24,2.015E-13,1.089E-13,
172.69208,-31.63528,7.250E+24,2.622E-13,1.522E-13,
172.69208,-31.63528,1.210E+25,4.285E-13,2.319E-13,
172.69208,-31.63528,2.420E+25,6.845E-13,2.939E-13,
172.77167,-9.735,2.420E+23,2.040E-13,0.000E+00,UL
172.77167,-9.735,4.110E+23,9.599E-14,5.813E-14,
172.77167,-9.735,7.250E+23,2.595E-13,7.430E-14,
172.77167,-9.735,1.210E+24,3.163E-13,8.431E-14,
172.77167,-9.735,2.418E+24,4.611E-13,1.264E-13,
172.77167,-9.735,4.110E+24,4.773E-13,1.604E-13,
172.77167,-9.735,7.250E+24,6.027E-13,2.334E-13,
172.77167,-9.735,1.210E+25,7.433E-13,3.344E-13,
172.77167,-9.735,2.420E+25,5.990E-13,3.031E-13,
173.68625,-17.48361,2.420E+23,8.810E-14,6.280E-14,
173.68625,-17.48361,4.110E+23,1.991E-13,8.547E-14,
173.68625,-17.48361,7.250E+23,1.735E-13,7.378E-14,
173.68625,-17.48361,1.210E+24,2.022E-13,7.832E-14,
173.68625,-17.48361,2.418E+24,2.548E-13,1.162E-13,
173.68625,-17.48361,4.110E+24,5.068E-13,1.426E-13,
173.68625,-17.48361,7.250E+24,6.029E-13,2.385E-13,
173.68625,-17.48361,1.210E+25,4.184E-13,7.928E-14,
173.68625,-17.48361,2.420E+25,4.190E-13,0.000E+00,UL
174.48167,-17.17833,2.420E+23,1.766E-13,1.164E-13,
174.48167,-17.17833,4.110E+23,2.753E-13,1.036E-13,
174.48167,-17.17833,7.250E+23,4.334E-13,9.043E-14,
174.48167,-17.17833,1.210E+24,5.972E-13,1.081E-13,
174.48167,-17.17833,2.418E+24,6.825E-13,1.568E-13,
174.48167,-17.17833,4.110E+24,7.152E-13,2.093E-13,
174.48167,-17.17833,7.250E+24,8.881E-13,2.776E-13,
174.48167,-17.17833,1.210E+25,7.350E-13,3.072E-13,
174.48167,-17.17833,2.420E+25,4.352E-13,3.935E-13,
182.99417,22.70917,2.420E+23,2.040E-13,0.000E+00,UL
182.99417,22.70917,4.110E+23,1.351E-13,7.979E-14,
182.99417,22.70917,7.250E+23,2.344E-13,6.742E-14,
182.99417,22.70917,1.210E+24,2.566E-13,7.634E-14,
182.99417,22.70917,2.418E+24,2.359E-13,1.051E-13,
182.99417,22.70917,4.110E+24,1.134E-13,1.016E-13,
182.99417,22.70917,7.250E+24,2.030E-13,0.000E+00,UL
182.99417,22.70917,1.210E+25,2.570E-13,0.000E+00,UL
182.99417,22.70917,2.420E+25,4.190E-13,0.000E+00,UL
183.79542,7.53444,2.420E+23,1.988E-13,1.222E-13,
183.79542,7.53444,4.110E+23,2.765E-13,9.516E-14,
183.79542,7.53444,7.250E+23,3.428E-13,7.777E-14,
183.79542,7.53444,1.210E+24,4.072E-13,9.054E-14,
183.79542,7.53444,2.418E+24,4.503E-13,1.235E-13,
183.79542,7.53444,4.110E+24,5.558E-13,1.622E-13,
183.79542,7.53444,7.250E+24,6.155E-13,2.103E-13,
183.79542,7.53444,1.210E+25,6.381E-13,3.100E-13,
183.79542,7.53444,2.420E+25,5.940E-13,4.623E-13,
184.01333,-2.71778,2.420E+23,2.040E-13,0.000E+00,UL
184.01333,-2.71778,4.110E+23,1.670E-13,0.000E+00,UL
184.01333,-2.71778,7.250E+23,2.682E-13,8.867E-14,
184.01333,-2.71778,1.210E+24,2.961E-13,8.744E-14,
184.01333,-2.71778,2.418E+24,3.153E-13,1.040E-13,
184.01333,-2.71778,4.110E+24,4.170E-13,1.403E-13,
184.01333,-2.71778,7.250E+24,3.697E-13,1.876E-13,
184.01333,-2.71778,1.210E+25,2.119E-13,5.260E-14,
184.01333,-2.71778,2.420E+25,4.190E-13,0.000E+00,UL
190.4225,34.675,2.420E+23,2.242E-13,1.401E-13,
190.4225,34.675,4.110E+23,1.732E-13,6.520E-14,
190.4225,34.675,7.250E+23,2.081E-13,7.118E-14,
190.4225,34.675,1.210E+24,2.450E-13,6.805E-14,
190.4225,34.675,2.418E+24,2.479E-13,1.019E-13,
190.4225,34.675,4.110E+24,1.641E-13,1.500E-13,
190.4225,34.675,7.250E+24,2.030E-13,0.000E+00,UL
190.4225,34.675,1.210E+25,2.570E-13,0.000E+00,UL
190.4225,34.675,2.420E+25,4.190E-13,0.000E+00,UL
192.56458,31.93306,2.420E+23,1.245E-14,7.439E-15,
192.56458,31.93306,4.110E+23,3.598E-14,2.152E-14,
192.56458,31.93306,7.250E+23,6.664E-14,5.456E-14,
192.56458,31.93306,1.210E+24,1.141E-13,5.469E-14,
192.56458,31.93306,2.418E+24,8.092E-14,6.276E-14,
192.56458,31.93306,4.110E+24,1.592E-13,8.689E-14,
192.56458,31.93306,7.250E+24,1.608E-13,1.063E-13,
192.56458,31.93306,1.210E+25,2.814E-13,2.000E-13,
192.56458,31.93306,2.420E+25,4.190E-13,0.000E+00,UL
193.42167,-39.53306,2.420E+23,2.040E-13,0.000E+00,UL
193.42167,-39.53306,4.110E+23,1.670E-13,0.000E+00,UL
193.42167,-39.53306,7.250E+23,1.942E-13,7.378E-14,
193.42167,-39.53306,1.210E+24,2.604E-13,8.391E-14,
193.42167,-39.53306,2.418E+24,4.153E-13,1.149E-13,
193.42167,-39.53306,4.110E+24,3.725E-13,1.274E-13,
193.42167,-39.53306,7.250E+24,4.469E-13,8.467E-14,
193.42167,-39.53306,1.210E+25,2.987E-13,2.369E-13,
193.42167,-39.53306,2.420E+25,4.190E-13,0.000E+00,UL
194.7,-4.79583,2.420E+23,2.471E-13,3.012E-14,
194.7,-4.79583,4.110E+23,3.470E-13,4.877E-14,
194.7,-4.79583,7.250E+23,4.198E-13,1.015E-13,
194.7,-4.79583,1.210E+24,5.183E-13,1.000E-13,
194.7,-4.79583,2.418E+24,5.401E-13,1.462E-13,
194.7,-4.79583,4.110E+24,4.409E-13,1.684E-13,
194.7,-4.79583,7.250E+24,1.269E-13,0.000E+00,UL
194.7,-4.79583,1.210E+25,2.570E-13,0.000E+00,UL
194.7,-4.79583,2.420E+25,4.190E-13,0.000E+00,UL
195.44,40.94,2.420E+23,2.508E-13,1.041E-13,
195.44,40.94,4.110E+23,2.750E-13,6.922E-14,
195.44,40.94,7.250E+23,3.138E-13,6.153E-14,
195.44,40.94,1.210E+24,3.023E-13,6.898E-14,
195.44,40.94,2.418E+24,2.277E-13,8.385E-14,
195.44,40.94,4.110E+24,3.317E-13,1.158E-13,
195.44,40.94,7.250E+24,2.413E-13,1.237E-13,
195.44,40.94,1.210E+25,1.368E-13,1.047E-13,
195.44,40.94,2.420E+25,4.190E-13,0.000E+00,UL
196.80542,-3.74194,2.420E+23,2.040E-13,0.000E+00,UL
196.80542,-3.74194,4.110E+23,1.670E-13,0.000E+00,UL
196.80542,-3.74194,7.250E+23,1.376E-13,9.666E-14,
196.80542,-3.74194,1.210E+24,1.033E-13,5.336E-14,
196.80542,-3.74194,2.418E+24,2.462E-13,9.802E-14,
196.80542,-3.74194,4.110E+24,2.377E-13,1.293E-13,
196.80542,-3.74194,7.250E+24,1.613E-13,1.488E-13,
196.80542,-3.74194,1.210E+25,2.570E-13,0.000E+00,UL
196.80542,-3.74194,2.420E+25,4.190E-13,0.000E+00,UL
201.42417,-2.46944,2.420E+23,1.073E-13,1.006E-13,
201.42417,-2.46944,4.110E+23,1.444E-13,8.482E-14,
201.42417,-2.46944,7.250E+23,2.272E-13,7.358E-14,
201.42417,-2.46944,1.210E+24,2.112E-13,7.320E-14,
201.42417,-2.46944,2.418E+24,2.019E-13,9.352E-14,
201.42417,-2.46944,4.110E+24,1.640E-13,0.000E+00,UL
201.42417,-2.46944,7.250E+24,2.030E-13,0.000E+00,UL
201.42417,-2.46944,1.210E+25,2.570E-13,0.000E+00,UL
201.42417,-2.46944,2.420E+25,4.190E-13,0.000E+00,UL
201.57375,12.49944,2.420E+23,2.040E-13,0.000E+00,UL
201.57375,12.49944,4.110E+23,1.345E-13,9.055E-14,
201.57375,12.49944,7.250E+23,1.873E-13,6.561E-14,
201.57375,12.49944,1.210E+24,2.435E-13,7.671E-14,
201.57375,12.49944,2.418E+24,3.120E-13,1.196E-13,
201.57375,12.49944,4.110E+24,2.574E-13,1.354E-13,
201.57375,12.49944,7.250E+24,1.810E-13,4.719E-14,
201.57375,12.49944,1.210E+25,2.570E-13,0.000E+00,UL
201.57375,12.49944,2.420E+25,4.190E-13,0.000E+00,UL
202.13958,11.75556,2.420E+23,2.689E-13,1.607E-13,
202.13958,11.75556,4.110E+23,2.055E-13,7.949E-14,
202.13958,11.75556,7.250E+23,1.574E-13,6.921E-14,
202.13958,11.75556,1.210E+24,2.426E-13,7.883E-14,
202.13958,11.75556,2.418E+24,2.867E-13,1.061E-13,
202.13958,11.75556,4.110E+24,3.669E-13,1.405E-13,
202.13958,11.75556,7.250E+24,2.745E-13,1.747E-13,
202.13958,11.75556,1.210E+25,1.490E-13,6.307E-14,
202.13958,11.75556,2.420E+25,4.190E-13,0.000E+00,UL
204.05042,23.33278,2.420E+23,1.937E-13,1.210E-13,
204.05042,23.33278,4.110E+23,2.566E-13,8.975E-14,
204.05042,23.33278,7.250E+23,3.521E-13,7.654E-14,
204.05042,23.33278,1.210E+24,4.063E-13,8.283E-14,
204.05042,23.33278,2.418E+24,3.872E-13,1.177E-13,
204.05042,23.33278,4.110E+24,1.805E-13,8.251E-14,
204.05042,23.33278,7.250E+24,2.030E-13,0.000E+00,UL
204.05042,23.33278,1.210E+25,2.570E-13,0.000E+00,UL
204.05042,23.33278,2.420E+25,4.190E-13,0.000E+00,UL
208.36667,56.01556,2.420E+23,4.141E-13,1.332E-13,
208.36667,56.01556,4.110E+23,3.302E-13,6.793E-14,
208.36667,56.01556,7.250E+23,2.255E-13,6.027E-14,
