ra,dec,frequency,flux,flux_err,upper_limit
25.17,-7.98028,1.210E+24,3.597E-13,9.319E-14,
25.17,-7.98028,2.418E+24,4.833E-13,1.332E-13,
25.17,-7.98028,4.110E+24,5.528E-13,1.722E-13,
25.17,-7.98028,7.250E+24,5.426E-13,2.309E-13,
25.17,-7.98028,1.210E+25,3.864E-13,2.915E-13,
25.17,-7.98028,2.420E+25,4.190E-13,0.000E+00,UL
30.27542,0.56667,2.420E+23,8.791E-14,1.374E-13,
30.27542,0.56667,4.110E+23,1.044E-13,8.995E-14,
30.27542,0.56667,7.250E+23,1.235E-13,7.472E-14,
30.27542,0.56667,1.210E+24,1.140E-13,5.931E-14,
30.27542,0.56667,2.418E+24,1.912E-13,8.986E-14,
30.27542,0.56667,4.110E+24,1.517E-13,1.004E-13,
30.27542,0.56667,7.250E+24,2.439E-13,1.470E-13,
30.27542,0.56667,1.210E+25,2.715E-13,2.038E-13,
30.27542,0.56667,2.420E+25,4.190E-13,0.000E+00,UL
31.05375,-33.56111,2.420E+23,1.105E-13,9.942E-14,
31.05375,-33.56111,4.110E+23,1.124E-13,6.283E-14,
31.05375,-33.56111,7.250E+23,1.355E-13,7.358E-14,
31.05375,-33.56111,1.210E+24,1.815E-13,6.611E-14,
31.05375,-33.56111,2.418E+24,2.780E-13,9.575E-14,
31.05375,-33.56111,4.110E+24,3.570E-13,1.316E-13,
31.05375,-33.56111,7.250E+24,2.586E-13,1.447E-13,
31.05375,-33.56111,1.210E+25,2.570E-13,0.000E+00,UL
31.05375,-33.56111,2.420E+25,4.190E-13,0.000E+00,UL
33.02375,-25.96611,2.420E+23,2.178E-13,1.183E-13,
33.02375,-25.96611,4.110E+23,2.611E-13,8.260E-14,
33.02375,-25.96611,7.250E+23,2.396E-13,6.414E-14,
33.02375,-25.96611,1.210E+24,2.666E-13,7.458E-14,
33.02375,-25.96611,2.418E+24,2.679E-13,9.928E-14,
33.02375,-25.96611,4.110E+24,3.554E-13,1.340E-13,
33.02375,-25.96611,7.250E+24,4.477E-13,1.865E-13,
33.02375,-25.96611,1.210E+25,3.220E-13,8.669E-14,
33.02375,-25.96611,2.420E+25,4.190E-13,0.000E+00,UL
33.07,-2.36528,2.420E+23,1.313E-13,8.112E-14,
33.07,-2.36528,4.110E+23,2.419E-13,8.219E-14,
33.07,-2.36528,7.250E+23,1.978E-13,7.361E-14,
33.07,-2.36528,1.210E+24,2.239E-13,8.221E-14,
33.07,-2.36528,2.418E+24,3.121E-13,1.047E-13,
33.07,-2.36528,4.110E+24,2.677E-13,1.337E-13,
33.07,-2.36528,7.250E+24,2.030E-13,0.000E+00,UL
33.07,-2.36528,1.210E+25,2.570E-13,0.000E+00,UL
33.07,-2.36528,2.420E+25,4.190E-13,0.000E+00,UL
34.13333,23.24722,2.420E+23,2.530E-13,1.233E-13,
34.13333,23.24722,4.110E+23,3.834E-13,1.094E-13,
34.13333,23.24722,7.250E+23,5.065E-13,8.975E-14,
34.13333,23.24722,1.210E+24,6.426E-13,1.102E-13,
34.13333,23.24722,2.418E+24,6.162E-13,1.413E-13,
34.13333,23.24722,4.110E+24,5.394E-13,1.673E-13,
34.13333,23.24722,7.250E+24,4.597E-13,2.096E-13,
34.13333,23.24722,1.210E+25,5.061E-13,3.272E-13,
34.13333,23.24722,2.420E+25,4.190E-13,0.000E+00,UL
35.20167,-8.71389,2.420E+23,1.646E-13,1.008E-13,
35.20167,-8.71389,4.110E+23,1.604E-13,9.424E-14,
35.20167,-8.71389,7.250E+23,2.107E-13,6.953E-14,
35.20167,-8.71389,1.210E+24,2.391E-13,7.587E-14,
35.20167,-8.71389,2.418E+24,2.891E-13,1.073E-13,
35.20167,-8.71389,4.110E+24,2.190E-13,1.166E-13,
35.20167,-8.71389,7.250E+24,2.030E-13,0.000E+00,UL
35.20167,-8.71389,1.210E+25,2.241E-13,1.622E-13,
35.20167,-8.71389,2.420E+25,4.190E-13,0.000E+00,UL
38.42042,6.93639,2.420E+23,4.228E-13,1.797E-13,
38.42042,6.93639,4.110E+23,5.394E-13,1.700E-13,
38.42042,6.93639,7.250E+23,4.085E-13,1.029E-13,
38.42042,6.93639,1.210E+24,4.559E-13,1.115E-13,
38.42042,6.93639,2.418E+24,4.306E-13,1.235E-13,
38.42042,6.93639,4.110E+24,4.981E-13,1.627E-13,
38.42042,6.93639,7.250E+24,4.851E-13,1.160E-13,
38.42042,6.93639,1.210E+25,3.116E-13,2.321E-13,
38.42042,6.93639,2.420E+25,4.190E-13,0.000E+00,UL
38.6275,80.72694,2.420E+23,2.040E-13,0.000E+00,UL
38.6275,80.72694,4.110E+23,1.670E-13,0.000E+00,UL
38.6275,80.72694,7.250E+23,9.164E-14,7.513E-14,
38.6275,80.72694,1.210E+24,1.080E-13,5.661E-14,
38.6275,80.72694,2.418E+24,2.070E-13,7.631E-14,
38.6275,80.72694,4.110E+24,2.800E-13,1.090E-13,
38.6275,80.72694,7.250E+24,3.740E-13,1.800E-13,
38.6275,80.72694,1.210E+25,4.131E-13,2.089E-13,
38.6275,80.72694,2.420E+25,4.190E-13,0.000E+00,UL
45.26542,34.68361,2.420E+23,4.511E-13,1.425E-13,
45.26542,34.68361,4.110E+23,4.203E-13,1.049E-13,
45.26542,34.68361,7.250E+23,4.132E-13,6.303E-14,
45.26542,34.68361,1.210E+24,3.400E-13,9.744E-14,
45.26542,34.68361,2.418E+24,2.660E-13,9.395E-14,
45.26542,34.68361,4.110E+24,2.650E-13,1.181E-13,
45.26542,34.68361,7.250E+24,1.757E-13,8.500E-14,
45.26542,34.68361,1.210E+25,2.570E-13,0.000E+00,UL
